fullName,rank,companyNumber,age
Кочергин Егор Романович,майор,10,21
Захаров Олег Романович,рядовой,6,24
Павлов Виктор Павлович,прапорщик,5,60
Яковлев Константин Андреевич,прапорщик,2,55
Орлов Андрей Иванович,прапорщик,11,60
Кочергин Андрей Максимович,прапорщик,9,42
Николаев Никита Андреевич,майор,12,51
Сидоров Олег Олегович,капитан,6,19
Морозов Михаил Алексеевич,сержант,6,49
Васильев Илья Андреевич,сержант,2,36
Соловьёв Сергей Дмитриевич,майор,6,57
Кузнецов Константин Павлович,сержант,3,29
Зайцев Юрий Алексеевич,майор,8,20
Алексеев Матвей Кириллович,лейтенант,10,36
Никитин Иван Кириллович,капитан,4,37
Захаров Денис Ильич,прапорщик,11,54
Лебедев Иван Никитич,полковник,7,50
Егоров Егор Алексеевич,полковник,4,56
Кузнецов Кирилл Дмитриевич,майор,8,41
Павлов Сергей Сергеевич,прапорщик,2,28
Михайлов Иван Андреевич,полковник,7,23
Яковлев Илья Викторович,прапорщик,1,44
Петров Роман Иванович,сержант,7,23
Морозов Илья Александрович,прапорщик,2,59
Фёдоров Андрей Андреевич,рядовой,5,48
Андреев Андрей Юрьевич,лейтенант,10,18
Борисов Максим Александрович,прапорщик,4,27
Павлов Константин Олегович,рядовой,5,33
Новиков Сергей Дмитриевич,сержант,7,58
Захаров Константин Викторович,рядовой,2,49
Степанов Степан Александрович,майор,9,54
Соколов Юрий Андреевич,прапорщик,7,18
Степанов Матвей Кириллович,капитан,7,29
Орлов Виктор Максимович,капитан,6,22
Егоров Степан Александрович,лейтенант,8,20
Николаев Роман Иванович,прапорщик,12,19
Морозов Максим Иванович,сержант,12,60
Николаев Сергей Романович,сержант,1,40
Павлов Никита Алексеевич,полковник,11,47
Андреев Денис Алексеевич,полковник,3,22
Андреев Иван Дмитриевич,прапорщик,4,20
Захаров Артём Дмитриевич,прапорщик,5,50
Кочергин Степан Юрьевич,прапорщик,1,59
Васильев Михаил Иванович,полковник,1,59
Фёдоров Кирилл Сергеевич,полковник,6,45
Борисов Роман Викторович,лейтенант,6,29
Семёнов Юрий Юрьевич,прапорщик,9,35
Захаров Максим Олегович,рядовой,7,56
Зайцев Алексей Никитич,прапорщик,2,23
Фёдоров Виктор Никитич,прапорщик,8,56
Андреев Егор Алексеевич,майор,8,40
Лебедев Дмитрий Иванович,капитан,7,35
Николаев Дмитрий Максимович,майор,11,43
Морозов Евгений Алексеевич,рядовой,3,56
Орлов Иван Дмитриевич,сержант,2,33
Никитин Олег Иванович,прапорщик,7,54
Петров Константин Андреевич,майор,8,41
Морозов Иван Максимович,капитан,3,51
Морозов Роман Романович,майор,5,33
Смирнов Александр Алексеевич,лейтенант,9,42
