fullName,rank,companyNumber,age
Егоров Денис Викторович,сержант,2,43
Захаров Андрей Андреевич,рядовой,4,20
Зайцев Дмитрий Кириллович,майор,9,51
Иванов Константин Сергеевич,прапорщик,8,58
Иванов Андрей Сергеевич,капитан,3,43
Орлов Дмитрий Андреевич,капитан,8,34
Егоров Виктор Кириллович,рядовой,6,36
Макаров Артём Ильич,рядовой,4,24
Андреев Иван Олегович,полковник,8,25
Павлов Денис Олегович,майор,7,50
Лебедев Денис Юрьевич,сержант,11,44
Андреев Павел Юрьевич,лейтенант,5,26
Фёдоров Иван Павлович,прапорщик,11,26
Павлов Михаил Кириллович,прапорщик,12,30
Михайлов Виктор Александрович,лейтенант,6,47
Орлов Евгений Андреевич,капитан,9,47
Морозов Роман Максимович,майор,4,18
Кузнецов Роман Викторович,капитан,4,31
Морозов Артём Викторович,майор,11,38
Кузнецов Александр Иванович,сержант,3,49
Морозов Роман Романович,рядовой,8,18
Семёнов Олег Александрович,капитан,10,40
Борисов Константин Ильич,сержант,8,37
Яковлев Роман Сергеевич,прапорщик,8,33
Алексеев Дмитрий Романович,сержант,7,51
Сидоров Павел Юрьевич,полковник,8,38
Макаров Павел Александрович,прапорщик,6,37
Андреев Егор Максимович,майор,8,52
Зайцев Илья Максимович,капитан,9,44
Яковлев Виктор Викторович,сержант,6,36
Михайлов Евгений Иванович,рядовой,4,60
Лебедев Константин Олегович,майор,5,31
Козлов Иван Александрович,рядовой,6,53
Петров Артём Викторович,майор,9,25
Борисов Михаил Кириллович,рядовой,1,41
Михайлов Михаил Михайлович,сержант,8,45
Смирнов Максим Викторович,прапорщик,11,53
Яковлев Михаил Кириллович,лейтенант,3,50
Попов Евгений Кириллович,сержант,7,23
Павлов Максим Кириллович,лейтенант,8,24
Яковлев Дмитрий Олегович,майор,12,40
Попов Михаил Викторович,рядовой,8,49
Павлов Роман Иванович,майор,6,22
Алексеев Михаил Кириллович,прапорщик,7,20
Соловьёв Никита Павлович,рядовой,3,43
Соловьёв Матвей Павлович,майор,1,36
Павлов Александр Олегович,полковник,10,30
Андреев Никита Сергеевич,прапорщик,9,40
Петров Михаил Юрьевич,полковник,3,38
Орлов Константин Александрович,лейтенант,4,59
Сидоров Сергей Андреевич,прапорщик,3,28
Соколов Александр Дмитриевич,прапорщик,9,43
Новиков Никита Сергеевич,сержант,8,49
Степанов Андрей Павлович,прапорщик,12,36
Кочергин Олег Михайлович,рядовой,9,35
Захаров Павел Андреевич,капитан,10,51
Николаев Степан Алексеевич,рядовой,11,55
Андреев Кирилл Олегович,майор,10,36
Лебедев Денис Кириллович,лейтенант,8,57
Соколов Денис Сергеевич,капитан,5,49
Новиков Матвей Андреевич,капитан,3,55
Егоров Алексей Сергеевич,майор,1,22
Павлов Роман Алексеевич,майор,8,57
Алексеев Иван Викторович,сержант,7,44
Макаров Иван Сергеевич,капитан,5,45
Соколов Юрий Иванович,майор,3,54
Васильев Степан Сергеевич,сержант,2,26
Орлов Евгений Кириллович,капитан,11,59
Никитин Виктор Михайлович,прапорщик,7,36
Кочергин Виктор Дмитриевич,сержант,5,48
Кочергин Кирилл Сергеевич,полковник,12,38
Лебедев Евгений Михайлович,капитан,10,22
Козлов Юрий Юрьевич,капитан,5,57
Васильев Максим Максимович,майор,8,52
Михайлов Матвей Максимович,рядовой,9,22
Сидоров Михаил Романович,рядовой,8,59
Лебедев Михаил Романович,капитан,3,42
Захаров Максим Кириллович,лейтенант,9,53
Новиков Александр Иванович,полковник,8,55
Козлов Иван Максимович,прапорщик,3,24
Алексеев Иван Павлович,майор,11,50
Васильев Олег Ильич,рядовой,1,32
Соколов Павел Алексеевич,полковник,5,55
Егоров Сергей Андреевич,майор,6,36
Иванов Иван Никитич,прапорщик,7,26
Борисов Алексей Юрьевич,сержант,1,51
Николаев Юрий Сергеевич,майор,12,41
Соловьёв Виктор Павлович,майор,5,47
Смирнов Константин Викторович,капитан,12,39
Алексеев Матвей Викторович,майор,1,32
Михайлов Михаил Сергеевич,полковник,11,31
Макаров Денис Сергеевич,прапорщик,3,52
Павлов Роман Иванович,прапорщик,5,30
Николаев Дмитрий Михайлович,майор,7,28
Яковлев Константин Андреевич,майор,3,37
Андреев Андрей Андреевич,прапорщик,11,39
Зайцев Алексей Кириллович,рядовой,6,24
Захаров Дмитрий Михайлович,лейтенант,5,32
Сидоров Денис Юрьевич,рядовой,2,21
Борисов Максим Юрьевич,лейтенант,7,29
Новиков Илья Максимович,рядовой,9,57
Попов Дмитрий Олегович,капитан,7,52
Андреев Денис Ильич,прапорщик,2,44
Борисов Иван Кириллович,полковник,6,18
Михайлов Евгений Павлович,рядовой,2,32
Соловьёв Александр Алексеевич,майор,9,29
Андреев Денис Максимович,сержант,7,35
Фёдоров Александр Максимович,майор,4,53
Козлов Алексей Викторович,капитан,11,18
Смирнов Павел Максимович,сержант,10,33
Захаров Виктор Иванович,сержант,2,20
Никитин Виктор Андреевич,полковник,2,57
Никитин Артём Юрьевич,полковник,1,24
Соловьёв Степан Алексеевич,майор,9,60
Борисов Евгений Юрьевич,майор,8,42
Михайлов Никита Олегович,майор,6,58
Захаров Егор Романович,лейтенант,9,27
Козлов Олег Романович,сержант,8,47
Николаев Константин Юрьевич,майор,9,58
Кочергин Дмитрий Сергеевич,лейтенант,9,25
Морозов Юрий Максимович,прапорщик,12,46
Козлов Егор Юрьевич,майор,8,54
Николаев Юрий Романович,майор,6,57
Морозов Юрий Викторович,рядовой,12,19
Козлов Илья Никитич,капитан,6,38
Соколов Константин Ильич,капитан,11,24
Николаев Кирилл Андреевич,прапорщик,3,48
Макаров Егор Павлович,майор,6,29
Кочергин Степан Сергеевич,прапорщик,11,57
Фёдоров Денис Никитич,майор,12,19
Никитин Евгений Никитич,майор,10,44
Попов Павел Александрович,сержант,4,43
Фёдоров Сергей Кириллович,лейтенант,10,19
Захаров Александр Максимович,прапорщик,11,29
Лебедев Денис Ильич,сержант,2,53
Морозов Дмитрий Сергеевич,сержант,7,50
Фёдоров Евгений Кириллович,прапорщик,5,20
Кузнецов Денис Иванович,майор,8,33
Кузнецов Егор Юрьевич,полковник,6,36
Смирнов Андрей Максимович,лейтенант,3,52
Иванов Павел Дмитриевич,полковник,10,32
Павлов Андрей Павлович,лейтенант,9,59
Макаров Максим Никитич,сержант,3,44
Зайцев Алексей Павлович,сержант,7,19
Морозов Александр Кириллович,капитан,3,48
Васильев Александр Павлович,прапорщик,1,34
Фёдоров Андрей Максимович,прапорщик,3,35
Лебедев Илья Максимович,лейтенант,10,32
Иванов Роман Александрович,сержант,2,42
Козлов Степан Павлович,рядовой,10,27
Егоров Андрей Олегович,полковник,6,32
Николаев Алексей Александрович,лейтенант,10,29
Соколов Матвей Алексеевич,прапорщик,8,19
Соловьёв Константин Дмитриевич,лейтенант,6,56
Егоров Виктор Сергеевич,майор,11,39
Соловьёв Константин Дмитриевич,майор,9,39
Егоров Никита Максимович,капитан,7,22
Смирнов Константин Никитич,капитан,6,32
Попов Матвей Михайлович,рядовой,1,27
Сидоров Андрей Ильич,капитан,10,25
Кузнецов Алексей Олегович,рядовой,9,48
Соловьёв Виктор Андреевич,майор,7,24
Андреев Кирилл Алексеевич,полковник,11,59
Фёдоров Евгений Алексеевич,прапорщик,7,60
Соловьёв Александр Сергеевич,полковник,3,53
Николаев Константин Александрович,сержант,10,39
Михайлов Михаил Михайлович,капитан,1,57
Сидоров Дмитрий Никитич,майор,11,27
Алексеев Егор Дмитриевич,майор,6,49
Морозов Никита Алексеевич,сержант,5,22
Никитин Егор Никитич,капитан,8,48
Алексеев Андрей Дмитриевич,прапорщик,4,55
Орлов Степан Никитич,сержант,10,41
Соколов Дмитрий Алексеевич,майор,3,36
Павлов Кирилл Сергеевич,капитан,7,36
Соколов Дмитрий Иванович,майор,8,42
Попов Никита Никитич,прапорщик,1,32
Зайцев Александр Юрьевич,полковник,10,59
Сидоров Матвей Викторович,лейтенант,3,57
Смирнов Степан Кириллович,капитан,3,30
Степанов Константин Александрович,капитан,2,51
Новиков Юрий Никитич,майор,3,32
Яковлев Денис Викторович,майор,5,55
Михайлов Константин Дмитриевич,лейтенант,9,49
Макаров Константин Алексеевич,лейтенант,7,52
Степанов Илья Кириллович,лейтенант,8,45
Новиков Александр Дмитриевич,майор,5,21
Егоров Евгений Дмитриевич,сержант,5,38
Кузнецов Сергей Иванович,капитан,2,40
Смирнов Павел Юрьевич,капитан,8,27
Смирнов Максим Олегович,лейтенант,9,43
Смирнов Павел Никитич,майор,5,19
Захаров Михаил Олегович,рядовой,11,32
Андреев Никита Никитич,капитан,10,58
Алексеев Степан Никитич,рядовой,1,24
Соколов Кирилл Олегович,майор,5,24
Зайцев Михаил Сергеевич,капитан,5,54
Морозов Александр Сергеевич,сержант,4,41
Николаев Александр Ильич,прапорщик,7,55
Козлов Илья Андреевич,полковник,5,32
Лебедев Никита Ильич,сержант,9,20
Андреев Илья Михайлович,полковник,9,18
Яковлев Степан Максимович,майор,1,18
Орлов Олег Викторович,рядовой,10,19
Захаров Дмитрий Павлович,полковник,5,26
Соловьёв Артём Александрович,майор,8,25
Михайлов Роман Алексеевич,сержант,2,42
Морозов Олег Юрьевич,прапорщик,6,35
Смирнов Максим Ильич,полковник,3,42
Андреев Михаил Иванович,прапорщик,1,21
Смирнов Егор Иванович,лейтенант,8,20
Захаров Егор Олегович,майор,8,33
Попов Павел Юрьевич,полковник,9,29
Алексеев Андрей Ильич,лейтенант,10,35
Козлов Сергей Андреевич,рядовой,10,25
Сидоров Юрий Викторович,майор,3,35
Степанов Матвей Михайлович,капитан,2,40
Никитин Иван Юрьевич,капитан,9,32
Фёдоров Максим Андреевич,прапорщик,12,41
Орлов Денис Иванович,капитан,1,55
Степанов Никита Ильич,лейтенант,4,26
Макаров Александр Дмитриевич,рядовой,11,32
Петров Иван Викторович,рядовой,7,20
Семёнов Константин Олегович,рядовой,7,50
Сидоров Матвей Михайлович,прапорщик,7,47
Смирнов Егор Олегович,капитан,4,24
Соловьёв Максим Максимович,лейтенант,3,51
Новиков Кирилл Кириллович,лейтенант,7,32
Соловьёв Максим Кириллович,лейтенант,2,33
Николаев Егор Викторович,рядовой,5,44
Алексеев Роман Романович,капитан,4,44
Яковлев Егор Александрович,лейтенант,9,42
Алексеев Андрей Ильич,майор,11,44
Макаров Никита Максимович,сержант,4,19
Сидоров Степан Иванович,рядовой,4,45
Захаров Артём Ильич,полковник,1,46
Михайлов Константин Юрьевич,капитан,9,58
Захаров Виктор Ильич,лейтенант,3,41
Алексеев Александр Ильич,лейтенант,3,50
Степанов Алексей Иванович,прапорщик,8,49
Николаев Олег Сергеевич,майор,2,21
Петров Илья Иванович,рядовой,5,58
Орлов Дмитрий Александрович,лейтенант,4,34
Смирнов Роман Романович,капитан,4,37
Семёнов Дмитрий Романович,рядовой,12,33
Павлов Кирилл Кириллович,лейтенант,5,43
Яковлев Павел Викторович,полковник,3,24
Лебедев Иван Павлович,майор,8,22
Петров Денис Сергеевич,капитан,3,34
Лебедев Юрий Александрович,лейтенант,8,57
Семёнов Александр Павлович,лейтенант,2,44
Кочергин Дмитрий Сергеевич,майор,1,35
Сидоров Никита Андреевич,полковник,3,20
Кузнецов Илья Викторович,полковник,12,60
Николаев Евгений Алексеевич,прапорщик,5,40
Васильев Михаил Ильич,майор,3,55
Михайлов Максим Александрович,лейтенант,10,48
Иванов Денис Иванович,прапорщик,7,27
